"codepci","clust","cat"
200071892,5,"Jeunes adultes, étudiants et cadres"
200071900,1,"Retraités"
200071918,4,"Employés et ouvriers"
200071926,1,"Retraités"
200071934,4,"Employés et ouvriers"
200071942,1,"Retraités"
200071967,6,"Trentenaires, cadres et professions intermédiaires"
200071983,3,"Ouvriers et jeunes enfants"
200071991,4,"Employés et ouvriers"
200072007,1,"Retraités"
200072015,3,"Ouvriers et jeunes enfants"
200072023,3,"Ouvriers et jeunes enfants"
200072031,3,"Ouvriers et jeunes enfants"
200072049,1,"Retraités"
200072056,1,"Retraités"
200072064,3,"Ouvriers et jeunes enfants"
200072072,3,"Ouvriers et jeunes enfants"
200072080,1,"Retraités"
200072098,3,"Ouvriers et jeunes enfants"
200072106,3,"Ouvriers et jeunes enfants"
200072130,6,"Trentenaires, cadres et professions intermédiaires"
200072304,4,"Employés et ouvriers"
200072312,6,"Trentenaires, cadres et professions intermédiaires"
200072320,2,"Profil diversifié, plutôt âgé"
200072346,6,"Trentenaires, cadres et professions intermédiaires"
200072452,4,"Employés et ouvriers"
200072460,4,"Employés et ouvriers"
200072478,6,"Trentenaires, cadres et professions intermédiaires"
200072544,2,"Profil diversifié, plutôt âgé"
200072635,2,"Profil diversifié, plutôt âgé"
200072643,3,"Ouvriers et jeunes enfants"
200072650,6,"Trentenaires, cadres et professions intermédiaires"
200072668,2,"Profil diversifié, plutôt âgé"
200072676,3,"Ouvriers et jeunes enfants"
200072684,4,"Employés et ouvriers"
200072692,3,"Ouvriers et jeunes enfants"
200072700,4,"Employés et ouvriers"
200072718,4,"Employés et ouvriers"
200072726,3,"Ouvriers et jeunes enfants"
200072734,6,"Trentenaires, cadres et professions intermédiaires"
200072825,2,"Profil diversifié, plutôt âgé"
200072874,6,"Trentenaires, cadres et professions intermédiaires"
200072882,4,"Employés et ouvriers"
200072981,4,"Employés et ouvriers"
200072999,4,"Employés et ouvriers"
200073013,6,"Trentenaires, cadres et professions intermédiaires"
200073096,2,"Profil diversifié, plutôt âgé"
200073104,1,"Retraités"
200073112,3,"Ouvriers et jeunes enfants"
200073120,1,"Retraités"
200073138,1,"Retraités"
200073146,2,"Profil diversifié, plutôt âgé"
200073161,6,"Trentenaires, cadres et professions intermédiaires"
200073237,4,"Employés et ouvriers"
200073245,2,"Profil diversifié, plutôt âgé"
200073252,1,"Retraités"
200073260,1,"Retraités"
200073344,6,"Trentenaires, cadres et professions intermédiaires"
200073393,3,"Ouvriers et jeunes enfants"
200073401,1,"Retraités"
200073419,5,"Jeunes adultes, étudiants et cadres"
200073427,4,"Employés et ouvriers"
200077014,6,"Trentenaires, cadres et professions intermédiaires"
200077055,4,"Employés et ouvriers"
240100578,1,"Retraités"
240100610,6,"Trentenaires, cadres et professions intermédiaires"
240100750,6,"Trentenaires, cadres et professions intermédiaires"
240100800,6,"Trentenaires, cadres et professions intermédiaires"
240100883,6,"Trentenaires, cadres et professions intermédiaires"
240100891,6,"Trentenaires, cadres et professions intermédiaires"
240200444,3,"Ouvriers et jeunes enfants"
240200469,3,"Ouvriers et jeunes enfants"
240200477,3,"Ouvriers et jeunes enfants"
240200493,3,"Ouvriers et jeunes enfants"
240200501,4,"Employés et ouvriers"
240200519,5,"Jeunes adultes, étudiants et cadres"
240200576,4,"Employés et ouvriers"
240200584,1,"Retraités"
240200592,4,"Employés et ouvriers"
240200600,3,"Ouvriers et jeunes enfants"
240200634,3,"Ouvriers et jeunes enfants"
240300491,3,"Ouvriers et jeunes enfants"
240300558,1,"Retraités"
240300566,3,"Ouvriers et jeunes enfants"
240300657,3,"Ouvriers et jeunes enfants"
240400440,1,"Retraités"
240500439,2,"Profil diversifié, plutôt âgé"
240500462,6,"Trentenaires, cadres et professions intermédiaires"
240600551,2,"Profil diversifié, plutôt âgé"
240600585,6,"Trentenaires, cadres et professions intermédiaires"
240600593,2,"Profil diversifié, plutôt âgé"
240700302,1,"Retraités"
240700617,2,"Profil diversifié, plutôt âgé"
240700716,3,"Ouvriers et jeunes enfants"
240700815,2,"Profil diversifié, plutôt âgé"
240700864,2,"Profil diversifié, plutôt âgé"
240800821,4,"Employés et ouvriers"
240800847,3,"Ouvriers et jeunes enfants"
240800862,5,"Jeunes adultes, étudiants et cadres"
240800920,3,"Ouvriers et jeunes enfants"
240900431,1,"Retraités"
240900464,3,"Ouvriers et jeunes enfants"
241000223,6,"Trentenaires, cadres et professions intermédiaires"
241000405,3,"Ouvriers et jeunes enfants"
241000447,1,"Retraités"
241000488,4,"Employés et ouvriers"
241100593,2,"Profil diversifié, plutôt âgé"
241200187,5,"Jeunes adultes, étudiants et cadres"
241200542,1,"Retraités"
241200567,2,"Profil diversifié, plutôt âgé"
241200625,3,"Ouvriers et jeunes enfants"
241200641,2,"Profil diversifié, plutôt âgé"
241200658,4,"Employés et ouvriers"
241200674,1,"Retraités"
241200765,2,"Profil diversifié, plutôt âgé"
241200807,3,"Ouvriers et jeunes enfants"
241200906,4,"Employés et ouvriers"
241200914,1,"Retraités"
241300375,2,"Profil diversifié, plutôt âgé"
241300417,2,"Profil diversifié, plutôt âgé"
241400415,1,"Retraités"
241400514,4,"Employés et ouvriers"
241400555,2,"Profil diversifié, plutôt âgé"
241400860,2,"Profil diversifié, plutôt âgé"
241400878,2,"Profil diversifié, plutôt âgé"
241500230,5,"Jeunes adultes, étudiants et cadres"
241500255,1,"Retraités"
241500271,4,"Employés et ouvriers"
241501055,1,"Retraités"
241501089,2,"Profil diversifié, plutôt âgé"
241501139,1,"Retraités"
241600303,3,"Ouvriers et jeunes enfants"
241700434,5,"Jeunes adultes, étudiants et cadres"
241700459,1,"Retraités"
241700517,2,"Profil diversifié, plutôt âgé"
241700624,1,"Retraités"
241700632,2,"Profil diversifié, plutôt âgé"
241700640,1,"Retraités"
241700699,1,"Retraités"
241800325,6,"Trentenaires, cadres et professions intermédiaires"
241800374,4,"Employés et ouvriers"
241800424,2,"Profil diversifié, plutôt âgé"
241800432,1,"Retraités"
241800457,6,"Trentenaires, cadres et professions intermédiaires"
241800507,5,"Jeunes adultes, étudiants et cadres"
241900133,3,"Ouvriers et jeunes enfants"
241927201,4,"Employés et ouvriers"
241927243,2,"Profil diversifié, plutôt âgé"
242000354,2,"Profil diversifié, plutôt âgé"
242000495,2,"Profil diversifié, plutôt âgé"
242000503,2,"Profil diversifié, plutôt âgé"
242010056,2,"Profil diversifié, plutôt âgé"
242010130,1,"Retraités"
242020071,5,"Jeunes adultes, étudiants et cadres"
242020105,2,"Profil diversifié, plutôt âgé"
242100154,6,"Trentenaires, cadres et professions intermédiaires"
242100410,5,"Jeunes adultes, étudiants et cadres"
242101434,3,"Ouvriers et jeunes enfants"
242101442,1,"Retraités"
242101459,4,"Employés et ouvriers"
242101491,5,"Jeunes adultes, étudiants et cadres"
242101509,3,"Ouvriers et jeunes enfants"
242200715,1,"Retraités"
242400752,3,"Ouvriers et jeunes enfants"
242400935,1,"Retraités"
242401024,1,"Retraités"
242500320,4,"Employés et ouvriers"
242500338,4,"Employés et ouvriers"
242500361,5,"Jeunes adultes, étudiants et cadres"
242504116,4,"Employés et ouvriers"
242504181,4,"Employés et ouvriers"
242504355,4,"Employés et ouvriers"
242504371,3,"Ouvriers et jeunes enfants"
242504447,3,"Ouvriers et jeunes enfants"
242504488,3,"Ouvriers et jeunes enfants"
242504496,4,"Employés et ouvriers"
242600252,2,"Profil diversifié, plutôt âgé"
242600492,1,"Retraités"
242600534,1,"Retraités"
242700276,4,"Employés et ouvriers"
242700607,3,"Ouvriers et jeunes enfants"
242700623,3,"Ouvriers et jeunes enfants"
242852465,3,"Ouvriers et jeunes enfants"
242900074,6,"Trentenaires, cadres et professions intermédiaires"
242900314,5,"Jeunes adultes, étudiants et cadres"
242900553,4,"Employés et ouvriers"
242900561,1,"Retraités"
242900629,1,"Retraités"
242900645,2,"Profil diversifié, plutôt âgé"
242900660,1,"Retraités"
242900694,2,"Profil diversifié, plutôt âgé"
242900702,1,"Retraités"
242900710,2,"Profil diversifié, plutôt âgé"
242900744,3,"Ouvriers et jeunes enfants"
242900751,4,"Employés et ouvriers"
242900769,2,"Profil diversifié, plutôt âgé"
242900793,4,"Employés et ouvriers"
242900801,6,"Trentenaires, cadres et professions intermédiaires"
242900835,5,"Jeunes adultes, étudiants et cadres"
243000270,1,"Retraités"
243000296,2,"Profil diversifié, plutôt âgé"
243000569,6,"Trentenaires, cadres et professions intermédiaires"
243000585,4,"Employés et ouvriers"
243000593,2,"Profil diversifié, plutôt âgé"
243000643,5,"Jeunes adultes, étudiants et cadres"
243000650,1,"Retraités"
243000684,2,"Profil diversifié, plutôt âgé"
243100518,5,"Jeunes adultes, étudiants et cadres"
243100567,1,"Retraités"
243100633,5,"Jeunes adultes, étudiants et cadres"
243100732,6,"Trentenaires, cadres et professions intermédiaires"
243100773,2,"Profil diversifié, plutôt âgé"
243100781,6,"Trentenaires, cadres et professions intermédiaires"
243100815,6,"Trentenaires, cadres et professions intermédiaires"
243200391,1,"Retraités"
243200409,3,"Ouvriers et jeunes enfants"
243200417,1,"Retraités"
243200425,1,"Retraités"
243200458,1,"Retraités"
243200508,1,"Retraités"
243200599,2,"Profil diversifié, plutôt âgé"
243200607,3,"Ouvriers et jeunes enfants"
243300316,5,"Jeunes adultes, étudiants et cadres"
243300563,1,"Retraités"
243300811,3,"Ouvriers et jeunes enfants"
243301165,6,"Trentenaires, cadres et professions intermédiaires"
243301181,4,"Employés et ouvriers"
243301215,6,"Trentenaires, cadres et professions intermédiaires"
243301223,6,"Trentenaires, cadres et professions intermédiaires"
243301249,6,"Trentenaires, cadres et professions intermédiaires"
243301264,6,"Trentenaires, cadres et professions intermédiaires"
243301355,6,"Trentenaires, cadres et professions intermédiaires"
243301371,1,"Retraités"
243301389,6,"Trentenaires, cadres et professions intermédiaires"
243301397,3,"Ouvriers et jeunes enfants"
243301405,6,"Trentenaires, cadres et professions intermédiaires"
243301439,2,"Profil diversifié, plutôt âgé"
243301447,6,"Trentenaires, cadres et professions intermédiaires"
243301454,3,"Ouvriers et jeunes enfants"
243301504,2,"Profil diversifié, plutôt âgé"
243400017,5,"Jeunes adultes, étudiants et cadres"
243400355,2,"Profil diversifié, plutôt âgé"
243400470,6,"Trentenaires, cadres et professions intermédiaires"
243400488,1,"Retraités"
243400520,6,"Trentenaires, cadres et professions intermédiaires"
243400694,6,"Trentenaires, cadres et professions intermédiaires"
243400736,1,"Retraités"
243400769,3,"Ouvriers et jeunes enfants"
243400819,1,"Retraités"
243500139,5,"Jeunes adultes, étudiants et cadres"
243500550,6,"Trentenaires, cadres et professions intermédiaires"
243500618,6,"Trentenaires, cadres et professions intermédiaires"
243500634,4,"Employés et ouvriers"
243500659,6,"Trentenaires, cadres et professions intermédiaires"
243500667,6,"Trentenaires, cadres et professions intermédiaires"
243500725,1,"Retraités"
243500733,4,"Employés et ouvriers"
243500741,2,"Profil diversifié, plutôt âgé"
243500774,6,"Trentenaires, cadres et professions intermédiaires"
243500782,5,"Jeunes adultes, étudiants et cadres"
243600202,1,"Retraités"
243600236,5,"Jeunes adultes, étudiants et cadres"
243600293,1,"Retraités"
243600301,4,"Employés et ouvriers"
243600319,4,"Employés et ouvriers"
243600327,5,"Jeunes adultes, étudiants et cadres"
243600343,2,"Profil diversifié, plutôt âgé"
243600350,3,"Ouvriers et jeunes enfants"
243700499,4,"Employés et ouvriers"
243700754,5,"Jeunes adultes, étudiants et cadres"
243700820,6,"Trentenaires, cadres et professions intermédiaires"
243800604,6,"Trentenaires, cadres et professions intermédiaires"
243800745,2,"Profil diversifié, plutôt âgé"
243800778,6,"Trentenaires, cadres et professions intermédiaires"
243800844,3,"Ouvriers et jeunes enfants"
243800935,6,"Trentenaires, cadres et professions intermédiaires"
243800984,6,"Trentenaires, cadres et professions intermédiaires"
243801024,6,"Trentenaires, cadres et professions intermédiaires"
243801073,6,"Trentenaires, cadres et professions intermédiaires"
243801255,6,"Trentenaires, cadres et professions intermédiaires"
243900354,6,"Trentenaires, cadres et professions intermédiaires"
243900412,2,"Profil diversifié, plutôt âgé"
243900420,4,"Employés et ouvriers"
243900479,3,"Ouvriers et jeunes enfants"
243900560,4,"Employés et ouvriers"
243900610,4,"Employés et ouvriers"
243900719,2,"Profil diversifié, plutôt âgé"
243901071,2,"Profil diversifié, plutôt âgé"
243901089,1,"Retraités"
244000543,1,"Retraités"
244000659,2,"Profil diversifié, plutôt âgé"
244000675,5,"Jeunes adultes, étudiants et cadres"
244000691,2,"Profil diversifié, plutôt âgé"
244000766,4,"Employés et ouvriers"
244000774,2,"Profil diversifié, plutôt âgé"
244000808,5,"Jeunes adultes, étudiants et cadres"
244000824,3,"Ouvriers et jeunes enfants"
244000857,1,"Retraités"
244000865,2,"Profil diversifié, plutôt âgé"
244000873,2,"Profil diversifié, plutôt âgé"
244000881,2,"Profil diversifié, plutôt âgé"
244100293,3,"Ouvriers et jeunes enfants"
244100780,1,"Retraités"
244100798,4,"Employés et ouvriers"
244100806,1,"Retraités"
244200614,2,"Profil diversifié, plutôt âgé"
244200622,1,"Retraités"
244200630,3,"Ouvriers et jeunes enfants"
244200770,5,"Jeunes adultes, étudiants et cadres"
244200820,3,"Ouvriers et jeunes enfants"
244200895,5,"Jeunes adultes, étudiants et cadres"
244300307,4,"Employés et ouvriers"
244301016,4,"Employés et ouvriers"
244301032,4,"Employés et ouvriers"
244301099,3,"Ouvriers et jeunes enfants"
244301107,1,"Retraités"
244301123,1,"Retraités"
244301131,5,"Jeunes adultes, étudiants et cadres"
244400404,5,"Jeunes adultes, étudiants et cadres"
244400438,6,"Trentenaires, cadres et professions intermédiaires"
244400453,3,"Ouvriers et jeunes enfants"
244400503,6,"Trentenaires, cadres et professions intermédiaires"
244400537,6,"Trentenaires, cadres et professions intermédiaires"
244400552,5,"Jeunes adultes, étudiants et cadres"
244400586,2,"Profil diversifié, plutôt âgé"
244400610,1,"Retraités"
244400644,5,"Jeunes adultes, étudiants et cadres"
244500203,5,"Jeunes adultes, étudiants et cadres"
244500211,5,"Jeunes adultes, étudiants et cadres"
244500419,2,"Profil diversifié, plutôt âgé"
244500427,6,"Trentenaires, cadres et professions intermédiaires"
244500468,5,"Jeunes adultes, étudiants et cadres"
244500484,4,"Employés et ouvriers"
244500542,3,"Ouvriers et jeunes enfants"
244600433,1,"Retraités"
244600482,2,"Profil diversifié, plutôt âgé"
244600532,1,"Retraités"
244600573,2,"Profil diversifié, plutôt âgé"
244700449,1,"Retraités"
244700464,1,"Retraités"
244701355,2,"Profil diversifié, plutôt âgé"
244701405,1,"Retraités"
244800405,5,"Jeunes adultes, étudiants et cadres"
244800470,3,"Ouvriers et jeunes enfants"
244900015,5,"Jeunes adultes, étudiants et cadres"
244900809,4,"Employés et ouvriers"
244900882,3,"Ouvriers et jeunes enfants"
245100615,4,"Employés et ouvriers"
245100888,1,"Retraités"
245100979,3,"Ouvriers et jeunes enfants"
245200597,3,"Ouvriers et jeunes enfants"
245300223,2,"Profil diversifié, plutôt âgé"
245300306,4,"Employés et ouvriers"
245300330,5,"Jeunes adultes, étudiants et cadres"
245300355,3,"Ouvriers et jeunes enfants"
245300389,3,"Ouvriers et jeunes enfants"
245300447,4,"Employés et ouvriers"
245400171,6,"Trentenaires, cadres et professions intermédiaires"
245400189,4,"Employés et ouvriers"
245400262,4,"Employés et ouvriers"
245400510,4,"Employés et ouvriers"
245400601,4,"Employés et ouvriers"
245400676,5,"Jeunes adultes, étudiants et cadres"
245400759,3,"Ouvriers et jeunes enfants"
245500327,4,"Employés et ouvriers"
245501176,2,"Profil diversifié, plutôt âgé"
245501184,4,"Employés et ouvriers"
245501242,4,"Employés et ouvriers"
245501259,3,"Ouvriers et jeunes enfants"
245600440,2,"Profil diversifié, plutôt âgé"
245600465,1,"Retraités"
245614383,2,"Profil diversifié, plutôt âgé"
245614417,3,"Ouvriers et jeunes enfants"
245614433,3,"Ouvriers et jeunes enfants"
245700133,4,"Employés et ouvriers"
245700372,4,"Employés et ouvriers"
245700398,3,"Ouvriers et jeunes enfants"
245700695,6,"Trentenaires, cadres et professions intermédiaires"
245700950,5,"Jeunes adultes, étudiants et cadres"
245701164,4,"Employés et ouvriers"
245701206,4,"Employés et ouvriers"
245701222,4,"Employés et ouvriers"
245701271,4,"Employés et ouvriers"
245701354,4,"Employés et ouvriers"
245701362,6,"Trentenaires, cadres et professions intermédiaires"
245701404,4,"Employés et ouvriers"
245801063,4,"Employés et ouvriers"
245804406,5,"Jeunes adultes, étudiants et cadres"
245804497,3,"Ouvriers et jeunes enfants"
245900410,5,"Jeunes adultes, étudiants et cadres"
245900428,5,"Jeunes adultes, étudiants et cadres"
245900758,2,"Profil diversifié, plutôt âgé"
245901038,6,"Trentenaires, cadres et professions intermédiaires"
245901061,6,"Trentenaires, cadres et professions intermédiaires"
245901152,3,"Ouvriers et jeunes enfants"
245901160,5,"Jeunes adultes, étudiants et cadres"
246000129,4,"Employés et ouvriers"
246000376,6,"Trentenaires, cadres et professions intermédiaires"
246000566,4,"Employés et ouvriers"
246000582,3,"Ouvriers et jeunes enfants"
246000707,2,"Profil diversifié, plutôt âgé"
246000749,2,"Profil diversifié, plutôt âgé"
246000756,3,"Ouvriers et jeunes enfants"
246000764,6,"Trentenaires, cadres et professions intermédiaires"
246000772,4,"Employés et ouvriers"
246000848,3,"Ouvriers et jeunes enfants"
246000855,2,"Profil diversifié, plutôt âgé"
246000871,6,"Trentenaires, cadres et professions intermédiaires"
246000897,6,"Trentenaires, cadres et professions intermédiaires"
246000913,4,"Employés et ouvriers"
246000921,6,"Trentenaires, cadres et professions intermédiaires"
246100390,1,"Retraités"
246100663,5,"Jeunes adultes, étudiants et cadres"
246200299,4,"Employés et ouvriers"
246200364,4,"Employés et ouvriers"
246200380,6,"Trentenaires, cadres et professions intermédiaires"
246200729,5,"Jeunes adultes, étudiants et cadres"
246200844,4,"Employés et ouvriers"
246201016,4,"Employés et ouvriers"
246201149,5,"Jeunes adultes, étudiants et cadres"
246300701,5,"Jeunes adultes, étudiants et cadres"
246300966,1,"Retraités"
246301097,4,"Employés et ouvriers"
246400337,2,"Profil diversifié, plutôt âgé"
246401756,2,"Profil diversifié, plutôt âgé"
246500482,2,"Profil diversifié, plutôt âgé"
246500573,4,"Employés et ouvriers"
246600282,1,"Retraités"
246600373,1,"Retraités"
246600399,2,"Profil diversifié, plutôt âgé"
246600415,2,"Profil diversifié, plutôt âgé"
246600423,1,"Retraités"
246600449,2,"Profil diversifié, plutôt âgé"
246600464,6,"Trentenaires, cadres et professions intermédiaires"
246600548,1,"Retraités"
246700306,4,"Employés et ouvriers"
246700488,5,"Jeunes adultes, étudiants et cadres"
246700744,6,"Trentenaires, cadres et professions intermédiaires"
246700777,2,"Profil diversifié, plutôt âgé"
246700843,2,"Profil diversifié, plutôt âgé"
246700926,4,"Employés et ouvriers"
246700959,6,"Trentenaires, cadres et professions intermédiaires"
246700967,4,"Employés et ouvriers"
246701064,4,"Employés et ouvriers"
246701080,6,"Trentenaires, cadres et professions intermédiaires"
246701098,4,"Employés et ouvriers"
246800205,3,"Ouvriers et jeunes enfants"
246800395,3,"Ouvriers et jeunes enfants"
246800445,4,"Employés et ouvriers"
246800494,4,"Employés et ouvriers"
246800551,4,"Employés et ouvriers"
246800569,4,"Employés et ouvriers"
246800577,6,"Trentenaires, cadres et professions intermédiaires"
246800585,4,"Employés et ouvriers"
246800676,2,"Profil diversifié, plutôt âgé"
246800726,5,"Jeunes adultes, étudiants et cadres"
246900575,6,"Trentenaires, cadres et professions intermédiaires"
246900625,6,"Trentenaires, cadres et professions intermédiaires"
246900724,6,"Trentenaires, cadres et professions intermédiaires"
246900740,6,"Trentenaires, cadres et professions intermédiaires"
246900757,6,"Trentenaires, cadres et professions intermédiaires"
246900765,6,"Trentenaires, cadres et professions intermédiaires"
247000011,3,"Ouvriers et jeunes enfants"
247000367,4,"Employés et ouvriers"
247000623,3,"Ouvriers et jeunes enfants"
247000664,4,"Employés et ouvriers"
247000698,4,"Employés et ouvriers"
247000706,6,"Trentenaires, cadres et professions intermédiaires"
247000714,3,"Ouvriers et jeunes enfants"
247000722,6,"Trentenaires, cadres et professions intermédiaires"
247000755,3,"Ouvriers et jeunes enfants"
247000821,6,"Trentenaires, cadres et professions intermédiaires"
247000854,2,"Profil diversifié, plutôt âgé"
247100290,5,"Jeunes adultes, étudiants et cadres"
247100589,5,"Jeunes adultes, étudiants et cadres"
247100639,4,"Employés et ouvriers"
247100647,2,"Profil diversifié, plutôt âgé"
247103765,6,"Trentenaires, cadres et professions intermédiaires"
247103864,1,"Retraités"
247104094,2,"Profil diversifié, plutôt âgé"
247200090,3,"Ouvriers et jeunes enfants"
247200132,5,"Jeunes adultes, étudiants et cadres"
247200348,3,"Ouvriers et jeunes enfants"
247200421,2,"Profil diversifié, plutôt âgé"
247200447,4,"Employés et ouvriers"
247200629,4,"Employés et ouvriers"
247200686,4,"Employés et ouvriers"
247300015,3,"Ouvriers et jeunes enfants"
247300254,4,"Employés et ouvriers"
247300262,6,"Trentenaires, cadres et professions intermédiaires"
247300361,4,"Employés et ouvriers"
247300452,4,"Employés et ouvriers"
247300528,2,"Profil diversifié, plutôt âgé"
247300668,2,"Profil diversifié, plutôt âgé"
247300676,2,"Profil diversifié, plutôt âgé"
247300817,6,"Trentenaires, cadres et professions intermédiaires"
247400047,6,"Trentenaires, cadres et professions intermédiaires"
247400112,6,"Trentenaires, cadres et professions intermédiaires"
247400567,6,"Trentenaires, cadres et professions intermédiaires"
247400583,6,"Trentenaires, cadres et professions intermédiaires"
247400617,6,"Trentenaires, cadres et professions intermédiaires"
247400666,6,"Trentenaires, cadres et professions intermédiaires"
247400682,6,"Trentenaires, cadres et professions intermédiaires"
247400690,6,"Trentenaires, cadres et professions intermédiaires"
247400724,6,"Trentenaires, cadres et professions intermédiaires"
247400740,6,"Trentenaires, cadres et professions intermédiaires"
247400773,2,"Profil diversifié, plutôt âgé"
247600497,2,"Profil diversifié, plutôt âgé"
247600505,6,"Trentenaires, cadres et professions intermédiaires"
247600539,6,"Trentenaires, cadres et professions intermédiaires"
247600588,3,"Ouvriers et jeunes enfants"
247600596,5,"Jeunes adultes, étudiants et cadres"
247600604,4,"Employés et ouvriers"
247600620,2,"Profil diversifié, plutôt âgé"
247600646,4,"Employés et ouvriers"
247600729,6,"Trentenaires, cadres et professions intermédiaires"
247600786,5,"Jeunes adultes, étudiants et cadres"
247700032,6,"Trentenaires, cadres et professions intermédiaires"
247700057,6,"Trentenaires, cadres et professions intermédiaires"
247700065,4,"Employés et ouvriers"
247700107,3,"Ouvriers et jeunes enfants"
247700339,6,"Trentenaires, cadres et professions intermédiaires"
247700438,6,"Trentenaires, cadres et professions intermédiaires"
247700594,6,"Trentenaires, cadres et professions intermédiaires"
247700644,6,"Trentenaires, cadres et professions intermédiaires"
247700701,6,"Trentenaires, cadres et professions intermédiaires"
247800550,6,"Trentenaires, cadres et professions intermédiaires"
247800584,6,"Trentenaires, cadres et professions intermédiaires"
247800618,6,"Trentenaires, cadres et professions intermédiaires"
247900798,4,"Employés et ouvriers"
248000499,4,"Employés et ouvriers"
248000531,5,"Jeunes adultes, étudiants et cadres"
248000747,4,"Employés et ouvriers"
248100158,4,"Employés et ouvriers"
248100430,5,"Jeunes adultes, étudiants et cadres"
248100497,1,"Retraités"
248100737,5,"Jeunes adultes, étudiants et cadres"
248100745,3,"Ouvriers et jeunes enfants"
248200016,1,"Retraités"
248200057,3,"Ouvriers et jeunes enfants"
248200065,1,"Retraités"
248200099,5,"Jeunes adultes, étudiants et cadres"
248200107,1,"Retraités"
248300394,1,"Retraités"
248300410,6,"Trentenaires, cadres et professions intermédiaires"
248300493,2,"Profil diversifié, plutôt âgé"
248300543,5,"Jeunes adultes, étudiants et cadres"
248300550,2,"Profil diversifié, plutôt âgé"
248400053,2,"Profil diversifié, plutôt âgé"
248400160,6,"Trentenaires, cadres et professions intermédiaires"
248400236,4,"Employés et ouvriers"
248400251,5,"Jeunes adultes, étudiants et cadres"
248400285,2,"Profil diversifié, plutôt âgé"
248400293,2,"Profil diversifié, plutôt âgé"
248400319,2,"Profil diversifié, plutôt âgé"
248400335,1,"Retraités"
248500191,1,"Retraités"
248500258,1,"Retraités"
248500340,4,"Employés et ouvriers"
248500415,3,"Ouvriers et jeunes enfants"
248500464,4,"Employés et ouvriers"
248500530,3,"Ouvriers et jeunes enfants"
248500563,2,"Profil diversifié, plutôt âgé"
248500589,5,"Jeunes adultes, étudiants et cadres"
248500621,4,"Employés et ouvriers"
248500662,4,"Employés et ouvriers"
248600413,4,"Employés et ouvriers"
248600447,2,"Profil diversifié, plutôt âgé"
248700189,3,"Ouvriers et jeunes enfants"
248719262,2,"Profil diversifié, plutôt âgé"
248719288,2,"Profil diversifié, plutôt âgé"
248719312,5,"Jeunes adultes, étudiants et cadres"
248719338,2,"Profil diversifié, plutôt âgé"
248719353,1,"Retraités"
248719361,2,"Profil diversifié, plutôt âgé"
248900334,4,"Employés et ouvriers"
248900383,3,"Ouvriers et jeunes enfants"
248900524,2,"Profil diversifié, plutôt âgé"
248900664,3,"Ouvriers et jeunes enfants"
248900748,2,"Profil diversifié, plutôt âgé"
248900896,4,"Employés et ouvriers"
248900938,3,"Ouvriers et jeunes enfants"
249000241,4,"Employés et ouvriers"
249100074,6,"Trentenaires, cadres et professions intermédiaires"
249100157,6,"Trentenaires, cadres et professions intermédiaires"
249100546,6,"Trentenaires, cadres et professions intermédiaires"
249100553,6,"Trentenaires, cadres et professions intermédiaires"
249100595,5,"Jeunes adultes, étudiants et cadres"
249500109,5,"Jeunes adultes, étudiants et cadres"
249500430,6,"Trentenaires, cadres et professions intermédiaires"
249500455,6,"Trentenaires, cadres et professions intermédiaires"
249500489,6,"Trentenaires, cadres et professions intermédiaires"
249500513,2,"Profil diversifié, plutôt âgé"
249710047,3,"Ouvriers et jeunes enfants"
249710062,6,"Trentenaires, cadres et professions intermédiaires"
249710070,2,"Profil diversifié, plutôt âgé"
249720053,2,"Profil diversifié, plutôt âgé"
249720061,6,"Trentenaires, cadres et professions intermédiaires"
249730037,6,"Trentenaires, cadres et professions intermédiaires"
249730045,6,"Trentenaires, cadres et professions intermédiaires"
249730052,6,"Trentenaires, cadres et professions intermédiaires"
249740077,6,"Trentenaires, cadres et professions intermédiaires"
249740085,3,"Ouvriers et jeunes enfants"
249740093,3,"Ouvriers et jeunes enfants"
249740101,6,"Trentenaires, cadres et professions intermédiaires"
249740119,5,"Jeunes adultes, étudiants et cadres"
